COD;DESCC;SIGLAS;DIRECC;DPA;ORGA;NAE;FORG;FFI;UNI;SUB;SUBORD;TIPO;EP
00277;INSTITUTO NACIONAL DE LA VIVIENDA;-  -  -  -  -  -  -  -;AVENIDA CARLOS MANUEL DE CESPEDES Y 35, VEDADO;2302;126;7512;05;2;999;000000126;0;UP;0
00300;CONSEJO DE ESTADO;-  -  -  -  -  -  -  -;COLON Y CARLOS MANUEL DE CESPEDES;2302;300;7511;05;2;999;;0;UP;0
00301;ASAMBLEA NACIONAL DEL PODER POPULAR;-  -  -  -  -  -  -  -;CALLE 42 NO. 2308 E/ 23 Y 25;2301;301;7511;05;2;999;;0;UP;0
00302;COMITE EJECUTIVO DEL CONSEJO DE MINISTRO;-  -  -  -  -  -  -  -;PALACIO DE LA REVOLUCION;2302;302;7511;05;2;999;;0;UP;0
00304;ADUANA GENERAL DE LA REPUBLICA;-  -  -  -  -  -  -  -;CALLE 39 NO. 674, ESQUINA A 6, NUEVO VEDADO;2302;304;7511;05;2;999;000000304;0;UP;0
00310;PODER POPULAR PROVINCIAL DE PINAR DEL RIO;-  -  -  -  -  -  -  -;MARTI NO. 164 E/ RAMON GONZALEZ CORO Y VOLCAN;2108;311;7511;05;2;999;;1;UP;0
00311;PODER POPULAR MUNICIPAL DE SANDINO;-  -  -  -  -  -  -  -;ZONA P S/N CIUDAD SANDINO;2101;311;7511;05;2;999;;2;UP;0
00312;PODER POPULAR MUNICIPAL DE MANTUA;-  -  -  -  -  -  -  -;CALLE JUAN BRUNO SAYAS NO. 314;2102;311;7511;05;2;999;00360;2;UP;0
00313;PODER POPULAR MUNICIPAL DE MINAS DE MATAHAMBRE;-  -  -  -  -  -  -  -;PASEO RUISENOR;2103;311;7511;05;2;999;;2;UP;0
00314;PODER POPULAR MUNICIPAL DE VINALES;-  -  -  -  -  -  -  -;CAMILO CIENFUEGOS NO. 2;2104;311;7511;05;2;999;;2;UP;0
00315;PODER POPULAR MUNICIPAL DE LA PALMA;-  -  -  -  -  -  -  -;MARTI NO. 87 E/ RIUS RIVERA Y CUARTELES;2105;311;7511;05;2;999;;2;UP;0
00316;PODER POPULAR MUNICIPAL DE BAHIA HONDA;-  -  -  -  -  -  -  -;AVE. 23 NO. 2814 E/ 30 Y 28;2201;326;7511;05;2;999;;2;UP;0
00317;PODER POPULAR MUNICIPAL DE CANDELARIA;-  -  -  -  -  -  -  -;CALLE 34 NO. 3500 E/ 35 Y 37;2210;326;7511;05;2;999;;2;UP;0
00318;PODER POPULAR MUNICIPAL DE SAN CRISTOBAL;-  -  -  -  -  -  -  -;RAFAEL PENA NO. 65 E/ IGNACIO HUMARA Y JOSE MARTI;2211;326;7511;05;2;999;;2;UP;0
00319;PODER POPULAR MUNICIPAL DE LOS PALACIOS;-  -  -  -  -  -  -  -;CALLE 20 NO. 1714 E/ 17 Y 19;2106;311;7511;05;2;999;;2;UP;0
00321;PODER POPULAR MUNICIPAL DE CONSOLACION DEL SUR;-  -  -  -  -  -  -  -;CALLE 53 NO. 6225 E/ 62 Y 64;2107;311;7511;05;2;999;;2;UP;0
00322;PODER POPULAR MUNICIPAL DE PINAR DEL RIO;-  -  -  -  -  -  -  -;EMILIO NUNEZ NO. 127, REPARTO CARLOS MANUEL;2108;311;7511;05;2;999;;2;UP;0
00323;PODER POPULAR MUNICIPAL DE SAN LUIS;-  -  -  -  -  -  -  -;JUANA ROMERO NO. 34;2109;311;7511;05;2;999;00310;2;UP;0
00324;PODER POPULAR MUNICIPAL DE SAN JUAN Y MARTINEZ;-  -  -  -  -  -  -  -;FRANCISCO RIVERA NO. 4 E/ LIBERTAD E ISABEL RUGES;2110;311;7511;05;2;999;;2;UP;0
00325;PODER POPULAR MUNICIPAL DE GUANE;-  -  -  -  -  -  -  -;CALLE IGNACIO RODRIGUEZ NO. 18;2111;311;7511;05;2;999;;2;UP;0
00331;PODER POPULAR MUNICIPAL DE MARIEL;-  -  -  -  -  -  -  -;AVE. 71 CARRETERA MARIEL, BOCA MARIEL;2202;326;7511;05;2;999;;2;UP;0
00332;PODER POPULAR MUNICIPAL DE GUANAJAY;-  -  -  -  -  -  -  -;AVE. 63 NO. 6412 E/ 64 Y 66;2203;326;7511;05;2;999;;2;UP;0
00333;PODER POPULAR MUNICIPAL DE CAIMITO;-  -  -  -  -  -  -  -;AVE. 41 NO. 3615 E/ 36 Y 38;2204;326;7511;05;2;999;;2;UP;0
00334;PODER POPULAR MUNICIPAL DE BAUTA;-  -  -  -  -  -  -  -;CALLE 144 # 25306 E/ 253 Y 255;2205;326;7511;05;2;999;;2;UP;0
00335;PODER POPULAR MUNICIPAL DE SAN ANTONIO DE LOS BANOS;-  -  -  -  -  -  -  -;AVE. 41 NO. 6015 E/ 60 Y 62;2206;326;7511;05;2;999;;2;UP;0
00336;PODER POPULAR MUNICIPAL DE BEJUCAL;-  -  -  -  -  -  -  -;CALLE 8 NO. 802 ESQ. 7;2401;327;7511;05;2;999;;2;UP;0
00337;PODER POPULAR MUNICIPAL DE SAN JOSE DE LAS LAJAS;-  -  -  -  -  -  -  -;CALLE 54 E/ 59 Y 63;2402;327;7511;05;2;999;;2;UP;0
00338;PODER POPULAR MUNICIPAL DE JARUCO;-  -  -  -  -  -  -  -;AVE. 23 N0. 2809 E/ 28 Y 30;2403;327;7511;05;2;999;;2;UP;0
00339;PODER POPULAR MUNICIPAL DE SANTA CRUZ DEL NORTE;-  -  -  -  -  -  -  -;CALLE 4TA NO. 913 E/ 9 Y 11;2404;327;7511;05;2;999;;2;UP;0
00341;PODER POPULAR MUNICIPAL DE MADRUGA;-  -  -  -  -  -  -  -;CALLE 26 NO. 2904 E/ 29 Y 31;2405;327;7511;05;2;999;;2;UP;0
00342;PODER POPULAR MUNICIPAL DE NUEVA PAZ;-  -  -  -  -  -  -  -;CALLE 12 NO. 1254 ESQ. 15;2406;327;7511;05;2;999;;2;UP;0
00343;PODER POPULAR MUNICIPAL DE SAN NICOLAS;-  -  -  -  -  -  -  -;CALLE 48 NO. 5302 E/ 53 Y 55;2407;327;7511;05;2;999;;2;UP;0
00344;PODER POPULAR MUNICIPAL DE GUINES;-  -  -  -  -  -  -  -;CALLE 94 NO. 8509 E/ 85 Y 91;2408;327;7511;05;2;999;;2;UP;0
00345;PODER POPULAR MUNICIPAL DE MELENA DEL SUR;-  -  -  -  -  -  -  -;AVE. 35 NO. 2605 E/ 26 Y 28;2409;327;7511;05;2;999;;2;UP;0
00346;PODER POPULAR MUNICIPAL DE BATABANO;-  -  -  -  -  -  -  -;CALLE 64 NO. 7325 E/ 73 Y 75;2410;327;7511;05;2;999;;2;UP;0
00347;PODER POPULAR MUNICIPAL DE QUIVICAN;-  -  -  -  -  -  -  -;CALLE 24 NO. 2301 E/ 23 Y 25;2411;327;7511;05;2;999;;2;UP;0
00348;PODER POPULAR MUNICIPAL DE GUIRA DE MELENA;-  -  -  -  -  -  -  -;AVE. 97 NO. 8006 E/ 88 Y 90;2207;326;7511;05;2;999;;2;UP;0
00349;PODER POPULAR MUNICIPAL DE ALQUIZAR;-  -  -  -  -  -  -  -;CALLE 76 NO. 8908 E/ 89 Y 91;2208;326;7511;05;2;999;;2;UP;0
00351;PODER POPULAR MUNICIPAL DE ARTEMISA;-  -  -  -  -  -  -  -;CALLE 48 NO. 2507 E/ 25 Y 27;2209;326;7511;05;2;999;;2;UP;0
00360;PODER POPULAR PROVINCIAL LA HABANA;-  -  -  -  -  -  -  -;AVE. LAS MISIONES NO. 25 ESQ. PENA POBRE;2304;313;7511;05;2;999;00360;1;UP;0
00361;PODER POPULAR MUNICIPAL DE PLAYA;-  -  -  -  -  -  -  -;42 NO. 511 ESQ. 7MA;2301;313;7511;05;2;999;;2;UP;0
00362;PODER POPULAR MUNICIPAL DE PLAZA DE LA REVOLUCION;-  -  -  -  -  -  -  -;CALZADA NO. 851 ESQ. A 4, VEDADO;2302;313;7511;05;2;999;;2;UP;0
00363;PODER POPULAR MUNICIPAL DE CENTRO HABANA;-  -  -  -  -  -  -  -;REINA NO. 67 ESQ. A ANGELES;2303;313;7511;05;2;999;;2;UP;0
00364;PODER POPULAR MUNICIPAL DE LA HABANA VIEJA;-  -  -  -  -  -  -  -;MURALLA NO. 1 E/ AVE DEL PUERTO Y OFICIOS;2304;313;7511;05;2;999;;2;UP;0
00365;PODER POPULAR MUNICIPAL DE REGLA;-  -  -  -  -  -  -  -;GUAICANAMAR NO. 1 E/ CESPEDES Y ARANGUREN;2305;313;7511;05;2;999;;2;UP;0
00366;PODER POPULAR MUNICIPAL DE LA HABANA DEL ESTE;-  -  -  -  -  -  -  -;35 NO. 1585 E/ 158 Y 160 ZONA 5, ALAMAR;2306;313;7511;05;2;999;;2;UP;0
00367;PODER POPULAR MUNICIPAL DE GUANABACOA;-  -  -  -  -  -  -  -;PEPE ANTONIO NO. 343 E/ JESUS MARIA Y DOCTOR MORA;2307;313;7511;05;2;999;;2;UP;0
00368;PODER POPULAR MUNICIPAL DE SAN MIGUEL DEL PADRON;-  -  -  -  -  -  -  -;CALZADA DE GUINES NO. 472 E/ B Y AVE. CALIFORNIA;2308;313;7511;05;2;999;;2;UP;0
00369;PODER POPULAR MUNICIPAL DE DIEZ DE OCTUBRE;-  -  -  -  -  -  -  -;SANTA CATALINA NO. 360 E/ CORTINA Y FIGUEROA;2309;313;7511;05;2;999;;2;UP;0
00371;PODER POPULAR MUNICIPAL DE CERRO;-  -  -  -  -  -  -  -;CALZADA DEL CERRO NO. 1265 E/ CALZADA DE BUENOS AIRES Y CALLEJON ECHEVARRIA;2310;313;7511;05;2;999;;2;UP;0
00372;PODER POPULAR MUNICIPAL DE MARIANAO;-  -  -  -  -  -  -  -;49 NO. 12024 E/ 120 Y 122, EDIFICIO LEVANTAN;2311;313;7511;05;2;999;;2;UP;0
00373;PODER POPULAR MUNICIPAL DE LA LISA;-  -  -  -  -  -  -  -;AVE. 49 E/ 200 Y 204;2312;313;7511;05;2;999;;2;UP;0
00374;PODER POPULAR MUNICIPAL DE BOYEROS;-  -  -  -  -  -  -  -;AVE. INDEPENDENCIA NO. 31103 E/ 311 Y 313;2313;313;7511;05;2;999;;2;UP;0
00375;PODER POPULAR MUNICIPAL DE ARROYO NARANJO;-  -  -  -  -  -  -  -;CALZADA DE BEJUCAL S/N E/ 6TA Y 7MA, RPTO. POEY;2314;313;7511;05;2;999;;2;UP;0
00376;PODER POPULAR MUNICIPAL DE COTORRO;-  -  -  -  -  -  -  -;AVE. 101 NO. 1428 E/ 14 Y 16;2315;313;7511;05;2;999;;2;UP;0
00380;PODER POPULAR PROVINCIAL DE MATANZAS;-  -  -  -  -  -  -  -;AYUNTAMIENTO E/ MILANES Y CONTRERAS;2501;314;7511;05;2;999;;1;UP;0
00381;PODER POPULAR MUNICIPAL DE MATANZAS;-  -  -  -  -  -  -  -;SANTA RITA FINAL NO. 25402. PLAYA.;2501;314;7511;05;2;999;;2;UP;0
00382;PODER POPULAR MUNICIPAL DE CARDENAS;-  -  -  -  -  -  -  -;CESPEDES NO. 662 E/ CRISTINA Y VELAZQUEZ;2502;314;7511;05;2;999;;2;UP;0
00383;PODER POPULAR MUNICIPAL DE VARADERO;-  -  -  -  -  -  -  -;CALLE 40 E/ 1RA Y AUTOPISTA. VARADERO;2502;314;7511;05;2;999;;2;UP;0
00384;PODER POPULAR MUNICIPAL DE MARTI;-  -  -  -  -  -  -  -;MACEO NO. 265.;2503;314;7511;05;2;999;;2;UP;0
00385;PODER POPULAR MUNICIPAL DE COLON;-  -  -  -  -  -  -  -;RICARDO TRUJILLO NO. 4 E/ GONZALO DE QUESADA Y CAMILO CIENFUEGOS.;2504;314;7511;05;2;999;;2;UP;0
00386;PODER POPULAR MUNICIPAL DE PERICO;-  -  -  -  -  -  -  -;MARTI NO. 181 E/ MACEO Y GONZALEZ;2505;314;7511;05;2;999;;2;UP;0
00387;PODER POPULAR MUNICIPAL DE JOVELLANOS;-  -  -  -  -  -  -  -;CALLE 15 NO. 1410 E/ 14 Y 16.;2506;314;7511;05;2;999;;2;UP;0
00388;PODER POPULAR MUNICIPAL DE PEDRO BETANCOURT;-  -  -  -  -  -  -  -;CALLE 24 NO. 2309 E/ 25 Y 23.;2507;314;7511;05;2;999;;2;UP;0
00389;PODER POPULAR MUNICIPAL DE LIMONAR;-  -  -  -  -  -  -  -;NELSON FERNANDEZ E/ M.GOMEZ Y A.MACEO;2508;314;7511;05;2;999;;2;UP;0
00391;PODER POPULAR MUNICIPAL DE UNION DE REYES;-  -  -  -  -  -  -  -;GENERAL BETANCOURT S/N E/ GENERAL LACRET Y FRANK PAIS.;2509;314;7511;05;2;999;;2;UP;0
00392;PODER POPULAR MUNICIPAL DE CIENAGA DE ZAPATA;-  -  -  -  -  -  -  -;ENTRONQUE PLAYA LARGA.;2510;314;7511;05;2;999;;2;UP;0
00393;PODER POPULAR MUNICIPAL DE JAGUEY GRANDE;-  -  -  -  -  -  -  -;CALLE 56 NO. 1312 E/ 13 Y 15.;2511;314;7511;05;2;999;;2;UP;0
00394;PODER POPULAR MUNICIPAL DE CALIMETE;-  -  -  -  -  -  -  -;INDEPENDENCIA NO. 72 E/ 6 Y 8.;2512;314;7511;05;2;999;;2;UP;0
00395;PODER POPULAR MUNICIPAL DE LOS ARABOS;-  -  -  -  -  -  -  -;CALLE MACEO NO. 25.;2513;314;7511;05;2;999;;2;UP;0
00410;PODER POPULAR PROVINCIAL DE VILLA CLARA;-  -  -  -  -  -  -  -;MACEO NO. 383 E/N GENERAL ROLOFF Y SINDICO;2609;315;7511;05;2;999;;1;UP;0
00411;PODER POPULAR MUNICIPAL DE CORRALILLO;-  -  -  -  -  -  -  -;LEONCIO VIDAL NO. 58 E/N RAFAEL LI Y MARTI;2601;315;7511;05;2;999;;2;UP;0
00412;PODER POPULAR MUNICIPAL DE QUEMADO DE GUINES;-  -  -  -  -  -  -  -;2DA DEL OESTE NO. 8 E/N 1RA Y AVENIDA SUR;2602;315;7511;05;2;999;;2;UP;0
00413;PODER POPULAR MUNICIPAL DE SAGUA LA GRANDE;-  -  -  -  -  -  -  -;CARMEN RIBALTA NO.179 E/N CLARA BARTON Y LIBERTADORES;2603;315;7511;05;2;999;;2;UP;0
00414;PODER POPULAR MUNICIPAL DE ENCRUCIJADA;-  -  -  -  -  -  -  -;AVE. JOSE MARTI NO. 7 E/ 1RA DEL OESTE Y CALZADA 26 DE JULIO.;2604;315;7511;05;2;999;;2;UP;0
00415;PODER POPULAR MUNICIPAL DE CAMAJUANI;-  -  -  -  -  -  -  -;MACEO NO.1 E/ INDEPENDENCIA Y MARTI;2605;315;7511;05;2;999;;2;UP;0
00416;PODER POPULAR MUNICIPAL DE CAIBARIEN;-  -  -  -  -  -  -  -;AVENIDA 7MA NO. 803 E/N 8 Y 10;2606;315;7511;05;2;999;;2;UP;0
00417;PODER POPULAR MUNICIPAL DE REMEDIOS;-  -  -  -  -  -  -  -;CALLE ADOLFO RUIZ, NUMERO 112, ENTRE INDEPENDENCIA Y GENERAL CARRILLO;2607;315;7511;05;2;999;;2;UP;0
00418;PODER POPULAR MUNICIPAL DE PLACETAS;-  -  -  -  -  -  -  -;1RA NORTE E/N 1RA Y 2DA OESTE;2608;315;7511;05;2;999;;2;UP;0
00419;PODER POPULAR MUNICIPAL DE SANTA CLARA;-  -  -  -  -  -  -  -;JUAN BRUNO ZAYAS NO. 257 E/N SAN MIGUEL Y NAZARENO;2609;315;7511;05;2;999;;2;UP;0
00421;PODER POPULAR MUNICIPAL DE CIFUENTES;-  -  -  -  -  -  -  -;MARTI NO. 107 E/ CALIXTO GARCIA Y J. RAMON LANZA;2610;315;7511;05;2;999;;2;UP;0
00422;PODER POPULAR MUNICIPAL DE SANTO DOMINGO;-  -  -  -  -  -  -  -;FRUCTUOSO RODRIGUEZ NO. 45 E/ MACEO Y JESUS PEREZ;2611;315;7511;05;2;999;;2;UP;0
00423;PODER POPULAR MUNICIPAL DE RANCHUELO;-  -  -  -  -  -  -  -;JUAN B. CONTRERAS NO. 1 E/N C. GARCIA Y RAMIRO LAVANDERO.;2612;315;7511;05;2;999;;2;UP;0
00424;PODER POPULAR MUNICIPAL DE MANICARAGUA;-  -  -  -  -  -  -  -;AVENIDA LIBERTAD NUMERO 8 ENTRE JUAN BRUNO ZAYAS Y ORIENTE;2613;315;7511;05;2;999;;2;UP;0
00430;PODER POPULAR PROVINCIAL DE CIENFUEGOS;-  -  -  -  -  -  -  -;AVE. 54 NO. 2706 E/ 27 Y 29;2707;316;7511;05;2;999;;1;UP;0
00431;PODER POPULAR MUNICIPAL DE AGUADA DE PASAJEROS;-  -  -  -  -  -  -  -;CALLE CESPEDES NO. 5;2701;316;7511;05;2;999;;2;UP;0
00432;PODER POPULAR MUNICIPAL DE RODAS;-  -  -  -  -  -  -  -;CALLE CESPEDES NO. 25 E/ MACEO Y CALIXTO GARCIA;2702;316;7511;05;2;999;;2;UP;0
00433;PODER POPULAR MUNICIPAL DE PALMIRA;-  -  -  -  -  -  -  -;CAMILO CIENFUEGOS NO. 134 E/ ESTRADA PALMA Y CERICE;2703;316;7511;05;2;999;;2;UP;0
00434;PODER POPULAR MUNICIPAL DE LAJAS;-  -  -  -  -  -  -  -;DR. MACHIN NO. 75 E/ GOITIZOLO Y MARTI;2704;316;7511;05;2;999;;2;UP;0
00435;PODER POPULAR MUNICIPAL DE CRUCES;-  -  -  -  -  -  -  -;ESQUERRA NO. 617 E/ PADRE LAS CASAS Y SERAFIN SANCHEZ;2705;316;7511;05;2;999;;2;UP;0
00436;PODER POPULAR MUNICIPAL DE CUMANAYAGUA;-  -  -  -  -  -  -  -;PASEO MARTI NO. 61 E/ CANDELARIA Y ELADIO MACHIN;2706;316;7511;05;2;999;;2;UP;0
00437;PODER POPULAR MUNICIPAL DE CIENFUEGOS;-  -  -  -  -  -  -  -;CALLE 41 NO. 5809 E/ 58 Y 60;2707;316;7511;05;2;999;;2;UP;0
00438;PODER POPULAR MUNICIPAL DE ABREUS;-  -  -  -  -  -  -  -;AVE. LIBERTAD NO. 89 E/ S. ENRIQUE Y J. RODRIGUEZ;2708;316;7511;05;2;999;;2;UP;0
00440;PODER POPULAR PROVINCIAL DE SANCTI SPIRITUS;-  -  -  -  -  -  -  -;CALLE CUARTEL S/N E/ ISABEL MARIA DE VALDIVIA Y AVE.DE LOS MARTIRES RPTO OLIVOS 1;2807;317;7511;05;2;999;;1;UP;0
00441;PODER POPULAR MUNICIPAL DE YAGUAJAY;-  -  -  -  -  -  -  -;MACEO NO. 7 E/ZAYAS Y PEDRO DIAZ.;2801;317;7511;05;2;999;;2;UP;0
00442;PODER POPULAR MUNICIPAL DE JATIBONICO;-  -  -  -  -  -  -  -;PASEO MARTI NO. 23 E/MANUEL FEIJOO Y MAXIMO GOMEZ.;2802;317;7511;05;2;999;;2;UP;0
00443;PODER POPULAR MUNICIPAL DE TAGUASCO;-  -  -  -  -  -  -  -;CALLE PEDRO MARIA RODRIGUEZ NO. 21 E/ JOSE ANTONIO ECHEVARRIA Y ANTONIO  RIVEROL ACOSTA;2803;317;7511;05;2;999;;2;UP;0
00444;PODER POPULAR MUNICIPAL DE CABAIGUAN;-  -  -  -  -  -  -  -;DIONISIO RODRIGUEZ NO. 49;2804;317;7511;05;2;999;;2;UP;0
00445;PODER POPULAR MUNICIPAL DE FOMENTO;-  -  -  -  -  -  -  -;CESPEDES NO. 115 E/ AGUILERA Y JOSE DEL C. HERNANDEZ;2805;317;7511;05;2;999;;2;UP;0
00446;PODER POPULAR MUNICIPAL DE TRINIDAD;-  -  -  -  -  -  -  -;ANTONIO GUITERAS NO. 1 E/JOSE MARTI Y FRANCISCO PATERSON.;2806;317;7511;05;2;999;;2;UP;0
00447;PODER POPULAR MUNICIPAL DE SANCTI SPIRITUS;-  -  -  -  -  -  -  -;INDEPENDENCIA NO. 16 (SUR) E/ CERVANTES Y HONORATO;2807;317;7511;05;2;999;;2;UP;0
00448;PODER POPULAR MUNICIPAL DE LA SIERPE;-  -  -  -  -  -  -  -;EDIFICIO NO. 16 APTO. 24;2808;317;7511;05;2;999;;2;UP;0
00450;PODER POPULAR PROVINCIAL DE CIEGO DE AVILA;-  -  -  -  -  -  -  -;CALLE 2 ESQ. MAXIMO GOMEZ;2908;318;7511;05;2;999;;1;UP;0
00451;PODER POPULAR MUNICIPAL DE CHAMBAS;-  -  -  -  -  -  -  -;MARTI NO. 11 E/ AGRAMONTE Y FELIX VARELA;2901;318;7511;05;2;999;;2;UP;0
00452;PODER POPULAR MUNICIPAL DE MORON;-  -  -  -  -  -  -  -;CORONEL CERVANTES NO. 1 E/ AVENIDA TARAFA Y SERAFINA;2902;318;7511;05;2;999;;2;UP;0
00453;PODER POPULAR MUNICIPAL DE BOLIVIA;-  -  -  -  -  -  -  -;SANCHEZ PINARES NO. 10;2903;318;7511;05;2;999;;2;UP;0
00454;PODER POPULAR MUNICIPAL DE PRIMERO DE ENERO;-  -  -  -  -  -  -  -;CALLE 4 NO. 31 E/ M Y N;2904;318;7511;05;2;999;;2;UP;0
00455;PODER POPULAR MUNICIPAL DE CIRO REDONDO;-  -  -  -  -  -  -  -;ENRIQUE VARONA NO. 2 ESQ. CAMILO CIENFUEGOS;2905;318;7511;05;2;999;;2;UP;0
